iter	MAPE	RMSE
760	0.3023508292	639850.0173
761	0.302282121	639629.737
762	0.3022760475	639544.5718
763	0.3021049514	639389.6274
764	0.3020877367	639192.2838
765	0.3020445066	639014.1943
766	0.3018430214	638887.35
767	0.3018214124	638805.2034
768	0.3017443813	638283.4645
769	0.3017476981	638050.4321
770	0.301742362	637968.8051
771	0.3016859851	637833.4121
772	0.3014403204	637699.17
773	0.3011648637	637510.437
774	0.3011213928	637361.0347
775	0.301086969	637167.7266
776	0.3008184	636986.0739
777	0.3007009418	636814.4004
778	0.3006348743	636601.4313
779	0.3005138775	636317.6153
780	0.3003027963	636143.7718
781	0.3002200503	635957.3364
782	0.3002144319	635814.2118
783	0.3002395047	635677.3893
784	0.3001858428	635324.9739
785	0.3000607034	635116.5486
786	0.2998762132	634866.637
787	0.2997401771	634788.8766
788	0.2996885288	634449.3808
789	0.2996586875	634310.468
790	0.299605664	634179.4391
791	0.2995719798	634056.5954
792	0.2993939568	633954.4435
793	0.2994175346	633822.4676
794	0.2992122571	633657.3093
795	0.2990910419	633457.3038
796	0.2990192445	633279.0387
797	0.2990292442	633038.9497
798	0.298903052	632859.3958
799	0.2988168271	632667.5802
800	0.2987856464	632495.3856
801	0.2988010329	632291.0434
802	0.2987440442	632084.7458
803	0.2986973732	631789.2075
804	0.2986917599	631713.1902
805	0.2985418651	631539.9485
806	0.2985146473	631408.6343
807	0.2982841464	631244.3624
808	0.2981577677	631171.5309
809	0.2980927523	630983.6519
810	0.298089062	630910.8614
811	0.2980239296	630772.6626
812	0.2980442064	630644.6907
813	0.297900582	630499.8888
814	0.2977693968	630298.673
815	0.2977860339	630107.7042
816	0.2976797611	630038.3529
817	0.297597617	629943.3939
818	0.2975818845	629835.9743
819	0.2975467605	629589.5033
820	0.2975050251	629497.5528
821	0.2974545475	629185.0334
822	0.2974441432	628612.2583
823	0.2973812449	628479.2786
824	0.2974015699	628355.3445
825	0.2972359029	628250.9625
826	0.29720558	628090.7869
827	0.2971728519	627976.4851
828	0.2970518368	627882.3606
829	0.2969252339	627689.4446
830	0.2966804133	627568.3874
831	0.2966344342	627502.0379
832	0.2965957811	627104.3083
833	0.2965454324	626804.7145
834	0.296525853	626703.0333
835	0.2964791181	626431.7472
836	0.2962896659	626208.7653
837	0.2962125862	626031.3844
838	0.2961317117	625923.2167
839	0.2961112567	625712.3934
840	0.2959927424	625465.3642
841	0.2958832492	625313.426
842	0.2958066702	625210.697
843	0.2956514488	625074.9434
844	0.2955918011	624948.5112
845	0.2955487471	624791.8657
846	0.2954297755	624623.3685
847	0.2953557551	624533.3714
848	0.2953345371	624292.1131
