iter	Passed	Remaining
1603	21627	45790
1604	21640	45775
1605	21654	45762
1606	21668	45750
1607	21682	45738
1608	21695	45724
1609	21709	45711
1610	21722	45697
1611	21736	45683
1612	21750	45671
1613	21764	45658
1614	21777	45644
1615	21790	45631
1616	21804	45618
1617	21818	45606
1618	21832	45593
1619	21846	45581
1620	21860	45568
1621	21874	45555
1622	21889	45545
1623	21902	45531
1624	21915	45515
1625	21928	45502
1626	21942	45490
1627	21956	45476
1628	21969	45463
1629	21982	45448
1630	21995	45434
1631	22008	45420
1632	22021	45405
1633	22034	45390
1634	22048	45377
1635	22061	45364
1636	22075	45350
1637	22088	45337
1638	22102	45324
1639	22116	45311
1640	22129	45297
1641	22143	45285
1642	22157	45273
1643	22171	45259
1644	22183	45242
1645	22195	45227
1646	22207	45210
1647	22220	45195
1648	22233	45181
1649	22247	45168
1650	22260	45154
1651	22274	45142
1652	22288	45129
1653	22301	45115
1654	22314	45101
1655	22328	45087
1656	22342	45075
1657	22356	45063
1658	22371	45052
1659	22385	45040
1660	22399	45028
1661	22414	45016
1662	22428	45004
1663	22440	44989
1664	22454	44976
1665	22467	44962
1666	22480	44947
1667	22493	44933
1668	22507	44919
